YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,GeoLocation,ClassID,TopicID,QuestionID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2016,2016,OK,Oklahoma,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,33.3,33.3,30.9,35.6,2710,"(35.472031356, -97.521070214)",OWS,OWS1,Q036,40,Gender,Male,GEN,MALE
2016,2016,FL,Florida,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,26.6,26.6,25.2,28.1,18545,"(28.932040377, -81.928960539)",OWS,OWS1,Q036,12,Gender,Female,GEN,FEMALE
2016,2016,OR,Oregon,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,27.7,27.7,25.8,29.8,2683,"(44.567449424, -120.155031326)",OWS,OWS1,Q037,41,Gender,Female,GEN,FEMALE
2019,2019,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,30.6,30.6,30.2,31,176623,,OWS,OWS1,Q036,59,Gender,Male,GEN,MALE
2017,2017,MT,Montana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,27.2,27.2,25,29.5,2658,"(47.066528972, -109.424420645)",OWS,OWS1,Q036,30,Gender,Male,GEN,MALE
2015,2015,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,NA,Value,10.1,10.1,8.5,11.9,1893,"(18.220833, -66.590149)",PA,PA1,Q044,72,Gender,Male,GEN,MALE
2011,2011,WA,Washington,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,39.5,39.5,37.5,41.5,5835,"(47.522278629, -120.47001079)",OWS,OWS1,Q037,53,Gender,Male,GEN,MALE
2016,2016,GU,Guam,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,34.5,34.5,29.8,39.6,877,"(13.444304, 144.793731)",PA,PA1,Q047,66,Gender,Female,GEN,FEMALE
2016,2016,OK,Oklahoma,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,32.2,32.2,30.2,34.3,3739,"(35.472031356, -97.521070214)",OWS,OWS1,Q036,40,Gender,Female,GEN,FEMALE
2016,2016,ND,North Dakota,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,32.2,32.2,30.1,34.4,2541,"(47.475319779, -100.118421049)",OWS,OWS1,Q036,38,Gender,Male,GEN,MALE
2016,2016,WI,Wisconsin,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,29.9,29.9,27.5,32.4,2507,"(44.393191174, -89.816370742)",OWS,OWS1,Q036,55,Gender,Female,GEN,FEMALE
2018,2018,TX,Texas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,27.2,27.2,24.7,29.8,5451,"(31.827240407000488, -99.42677020599967)",OWS,OWS1,Q037,48,Gender,Female,GEN,FEMALE
2020,2020,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,37.7,37.7,35,40.4,2089,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q036,1,Gender,Male,GEN,MALE
2015,2015,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,30.1,30.1,29.7,30.5,218332,,PA,PA1,Q045,59,Gender,Female,GEN,FEMALE
2019,2019,DC,District of Columbia,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,55.4,55.4,51.7,59.1,1215,"(38.89037138500049, -77.03196112699965)",PA,PA1,Q043,11,Gender,Female,GEN,FEMALE
2020,2020,GA,Georgia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,33.3,33.3,30.8,35.9,3669,"(32.83968109300048, -83.62758034599966)",OWS,OWS1,Q036,13,Gender,Male,GEN,MALE
2014,2014,MS,Mississippi,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,39.6,39.6,36.3,42.9,1475,"(32.745510099, -89.538030825)",OWS,OWS1,Q037,28,Gender,Male,GEN,MALE
2016,2016,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,38.4,38.4,35.6,41.2,2105,"(18.220833, -66.590149)",OWS,OWS1,Q037,72,Gender,Male,GEN,MALE
2016,2016,VI,Virgin Islands,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,23.5,23.5,18,30,483,"(18.335765, -64.896335)",PA,PA1,Q047,78,Gender,Male,GEN,MALE
2016,2016,UT,Utah,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,14.7,14.7,13.4,16.1,5082,"(39.360700171, -111.587130635)",PA,PA1,Q047,49,Gender,Male,GEN,MALE
2017,2017,VA,Virginia,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,24.7,24.7,22.8,26.7,3935,"(37.542680674, -78.457890463)",PA,PA1,Q047,51,Gender,Male,GEN,MALE
2017,2017,NM,New Mexico,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,NA,Value,41.2,41.2,38.5,43.8,2613,"(34.520880952, -106.240580985)",FV,FV1,Q018,35,Gender,Male,GEN,MALE
2018,2018,TX,Texas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,33.5,33.5,30.8,36.4,4698,"(31.827240407000488, -99.42677020599967)",OWS,OWS1,Q036,48,Gender,Male,GEN,MALE
2016,2016,OK,Oklahoma,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,25.6,25.6,23.6,27.8,2798,"(35.472031356, -97.521070214)",PA,PA1,Q047,40,Gender,Male,GEN,MALE
2015,2015,GU,Guam,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,33.4,33.4,28.8,38.4,761,"(13.444304, 144.793731)",OWS,OWS1,Q036,66,Gender,Male,GEN,MALE
2012,2012,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,29.6,29.6,29.2,30,257190,,OWS,OWS1,Q037,59,Gender,Female,GEN,FEMALE
2020,2020,NJ,New Jersey,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,23,23,21.5,24.5,5891,"(40.13057004800049, -74.27369128799967)",PA,PA1,Q047,34,Gender,Female,GEN,FEMALE
2020,2020,WV,West Virginia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,35.1,35.1,32.8,37.4,2495,"(38.66551020200046, -80.71264013499967)",OWS,OWS1,Q037,54,Gender,Male,GEN,MALE
2020,2020,MT,Montana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,41.2,41.2,39.1,43.3,3012,"(47.06652897200047, -109.42442064499971)",OWS,OWS1,Q037,30,Gender,Male,GEN,MALE
2018,2018,NJ,New Jersey,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,30.8,30.8,27.1,34.8,1601,"(40.13057004800049, -74.27369128799967)",PA,PA1,Q047,34,Gender,Female,GEN,FEMALE
2015,2015,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,NA,Value,35.1,35.1,34.6,35.5,164757,,PA,PA1,Q046,59,Gender,Male,GEN,MALE
2018,2018,WV,West Virginia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,35.3,35.3,32.8,37.8,2077,"(38.66551020200046, -80.71264013499967)",OWS,OWS1,Q037,54,Gender,Male,GEN,MALE
2018,2018,MT,Montana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,41.5,41.5,38.9,44.1,2333,"(47.06652897200047, -109.42442064499971)",OWS,OWS1,Q037,30,Gender,Male,GEN,MALE
2015,2015,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,52.7,52.7,50.6,54.7,3378,"(18.220833, -66.590149)",PA,PA1,Q047,72,Gender,Female,GEN,FEMALE
2018,2018,CO,Colorado,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,28.4,28.4,26.7,30,4114,"(38.843840757000464, -106.13361092099967)",OWS,OWS1,Q037,8,Gender,Female,GEN,FEMALE
2018,2018,NY,New York,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,27.9,27.9,26.7,29.2,15565,"(42.82700103200045, -75.54397042699964)",OWS,OWS1,Q036,36,Gender,Male,GEN,MALE
2018,2018,GA,Georgia,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,29.3,29.3,27.7,30.9,5188,"(32.83968109300048, -83.62758034599966)",PA,PA1,Q047,13,Gender,Female,GEN,FEMALE
2018,2018,ND,North Dakota,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,30.1,30.1,27.4,33,2608,"(47.47531977900047, -100.11842104899966)",OWS,OWS1,Q037,38,Gender,Female,GEN,FEMALE
2018,2018,MS,Mississippi,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,36.7,36.7,34.6,38.8,3482,"(32.745510099000455, -89.53803082499968)",PA,PA1,Q047,28,Gender,Female,GEN,FEMALE
2018,2018,CO,Colorado,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,17.3,17.3,16,18.6,4574,"(38.843840757000464, -106.13361092099967)",PA,PA1,Q047,8,Gender,Female,GEN,FEMALE
2018,2018,VT,Vermont,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,40,40,37.4,42.6,2820,"(43.62538123900049, -72.51764079099962)",OWS,OWS1,Q037,50,Gender,Male,GEN,MALE
2018,2018,CO,Colorado,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,43.1,43.1,41.3,44.9,4115,"(38.843840757000464, -106.13361092099967)",OWS,OWS1,Q037,8,Gender,Male,GEN,MALE
2018,2018,HI,Hawaii,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,23.5,23.5,21.5,25.6,4059,"(21.304850435000446, -157.85774940299973)",PA,PA1,Q047,15,Gender,Female,GEN,FEMALE
2018,2018,UT,Utah,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,15.8,15.8,14.5,17.1,5214,"(39.360700171000474, -111.58713063499971)",PA,PA1,Q047,49,Gender,Male,GEN,MALE
2018,2018,IN,Indiana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,35.9,35.9,33.8,38.1,3055,"(39.766910452000445, -86.14996019399968)",OWS,OWS1,Q037,18,Gender,Male,GEN,MALE
2018,2018,HI,Hawaii,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,26.8,26.8,24.9,28.7,3684,"(21.304850435000446, -157.85774940299973)",OWS,OWS1,Q036,15,Gender,Male,GEN,MALE
2018,2018,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,54.2,54.2,51.9,56.4,2982,"(18.220833, -66.590149)",PA,PA1,Q047,72,Gender,Female,GEN,FEMALE
2018,2018,OR,Oregon,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,30.8,30.8,28.7,33,2839,"(44.56744942400047, -120.15503132599969)",OWS,OWS1,Q036,41,Gender,Female,GEN,FEMALE
2018,2018,ID,Idaho,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,29.7,29.7,26.8,32.7,1766,"(43.682630005000476, -114.3637300419997)",OWS,OWS1,Q036,16,Gender,Male,GEN,MALE
2018,2018,CT,Connecticut,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,30.3,30.3,28.5,32.1,5204,"(41.56266102000046, -72.64984095199964)",OWS,OWS1,Q037,9,Gender,Female,GEN,FEMALE
2018,2018,NM,New Mexico,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,31.2,31.2,28.8,33.6,2970,"(34.52088095200048, -106.24058098499967)",OWS,OWS1,Q036,35,Gender,Male,GEN,MALE
2018,2018,IA,Iowa,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,29.4,29.4,27.9,31,4229,"(42.46940091300047, -93.81649055599968)",OWS,OWS1,Q037,19,Gender,Female,GEN,FEMALE
2018,2018,MO,Missouri,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,35.7,35.7,33.2,38.3,3205,"(38.635790776000476, -92.56630005299968)",OWS,OWS1,Q036,29,Gender,Female,GEN,FEMALE
2018,2018,UT,Utah,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,26.8,26.8,25.2,28.4,4685,"(39.360700171000474, -111.58713063499971)",OWS,OWS1,Q036,49,Gender,Female,GEN,FEMALE
2018,2018,VA,Virginia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,30.2,30.2,28.5,32,5102,"(37.54268067400045, -78.45789046299967)",OWS,OWS1,Q036,51,Gender,Female,GEN,FEMALE
2018,2018,NY,New York,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,21.1,21.1,20,22.3,16485,"(42.82700103200045, -75.54397042699964)",PA,PA1,Q047,36,Gender,Male,GEN,MALE
2018,2018,GU,Guam,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,27.7,27.7,22.9,33,732,"(13.444304, 144.793731)",PA,PA1,Q047,66,Gender,Male,GEN,MALE
2016,2016,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,30.2,30.2,28,32.5,4358,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,4,Gender,Male,GEN,MALE
2016,2016,MO,Missouri,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,23.8,23.8,21.7,26.1,3052,"(38.635790776, -92.566300053)",PA,PA1,Q047,29,Gender,Male,GEN,MALE
2018,2018,TX,Texas,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,28.8,28.8,26.4,31.5,6199,"(31.827240407000488, -99.42677020599967)",PA,PA1,Q047,48,Gender,Female,GEN,FEMALE
2018,2018,NJ,New Jersey,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,25.8,25.8,22.5,29.4,1384,"(40.13057004800049, -74.27369128799967)",OWS,OWS1,Q036,34,Gender,Male,GEN,MALE
2018,2018,DE,Delaware,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,39.4,39.4,36.6,42.2,2119,"(39.008830667000495, -75.57774116799965)",OWS,OWS1,Q037,10,Gender,Male,GEN,MALE
2018,2018,NC,North Carolina,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,27.1,27.1,24.9,29.4,2522,"(35.466220975000454, -79.15925046299964)",PA,PA1,Q047,37,Gender,Female,GEN,FEMALE
2018,2018,WI,Wisconsin,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,41.6,41.6,39,44.3,2241,"(44.39319117400049, -89.81637074199966)",OWS,OWS1,Q037,55,Gender,Male,GEN,MALE
2013,2013,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,29.1,29.1,27.2,31.1,3613,"(18.220833, -66.590149)",OWS,OWS1,Q036,72,Gender,Female,GEN,FEMALE
2018,2018,MO,Missouri,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,25.9,25.9,23.7,28.1,3205,"(38.635790776000476, -92.56630005299968)",OWS,OWS1,Q037,29,Gender,Female,GEN,FEMALE
2018,2018,VA,Virginia,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,19.9,19.9,18.4,21.5,4614,"(37.54268067400045, -78.45789046299967)",PA,PA1,Q047,51,Gender,Male,GEN,MALE
2018,2018,NV,Nevada,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,27.3,27.3,24.3,30.6,1702,"(39.493240390000494, -117.07184056399967)",PA,PA1,Q047,32,Gender,Female,GEN,FEMALE
2018,2018,MN,Minnesota,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,19.7,19.7,18.7,20.8,8262,"(46.35564873600049, -94.79420050299967)",PA,PA1,Q047,27,Gender,Male,GEN,MALE
2018,2018,ND,North Dakota,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,36,36,33.6,38.4,2611,"(47.47531977900047, -100.11842104899966)",OWS,OWS1,Q036,38,Gender,Male,GEN,MALE
2018,2018,WI,Wisconsin,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,31,31,28.6,33.5,2241,"(44.39319117400049, -89.81637074199966)",OWS,OWS1,Q036,55,Gender,Male,GEN,MALE
2018,2018,IN,Indiana,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,30.4,30.4,28.6,32.2,4355,"(39.766910452000445, -86.14996019399968)",PA,PA1,Q047,18,Gender,Female,GEN,FEMALE
2018,2018,NJ,New Jersey,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,43.9,43.9,39.9,48.1,1384,"(40.13057004800049, -74.27369128799967)",OWS,OWS1,Q037,34,Gender,Male,GEN,MALE
2018,2018,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,29.5,29.5,29,29.9,209072,,OWS,OWS1,Q037,59,Gender,Female,GEN,FEMALE
2018,2018,CA,California,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,19.5,19.5,18.2,20.8,6099,"(37.63864012300047, -120.99999953799971)",PA,PA1,Q047,6,Gender,Male,GEN,MALE
2018,2018,HI,Hawaii,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,40.6,40.6,38.5,42.8,3684,"(21.304850435000446, -157.85774940299973)",OWS,OWS1,Q037,15,Gender,Male,GEN,MALE
2016,2016,TX,Texas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,27.8,27.8,25.6,30.2,6194,"(31.827240407, -99.426770206)",OWS,OWS1,Q037,48,Gender,Female,GEN,FEMALE
2018,2018,FL,Florida,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,29.4,29.4,27.4,31.4,8421,"(28.932040377000476, -81.92896053899966)",PA,PA1,Q047,12,Gender,Female,GEN,FEMALE
2018,2018,NE,Nebraska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,33.8,33.8,32.1,35.4,7331,"(41.6410409880005, -99.36572062299967)",OWS,OWS1,Q036,31,Gender,Female,GEN,FEMALE
2018,2018,CT,Connecticut,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,26.4,26.4,24.8,28.1,5204,"(41.56266102000046, -72.64984095199964)",OWS,OWS1,Q036,9,Gender,Female,GEN,FEMALE
2018,2018,CO,Colorado,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,15.5,15.5,14.3,16.8,4299,"(38.843840757000464, -106.13361092099967)",PA,PA1,Q047,8,Gender,Male,GEN,MALE
